ManagerName,PrivateFundName,PrivateFundGrossAssetValue,FilingDate
Landmark Realty Advisors LLC,"LANDMARK REAL ESTATE PARTNERS VI-OPERS CO-INVESTMENT, L.P.","26,853,964.00",8/23/2022
Landmark Realty Advisors LLC,"LANDMARK REAL ESTATE PARTNERS VII OFFSHORE, L.P.","58,458,082.00",8/23/2022
Landmark Realty Advisors LLC,"LANDMARK REAL ESTATE PARTNERS VII OPERS CO-INVESTMENT, L.P.","202,365,178.00",8/23/2022
Landmark Realty Advisors LLC,"LANDMARK REAL ESTATE PARTNERS VII, L.P.","476,212,879.00",8/23/2022
Landmark Realty Advisors LLC,"LANDMARK REAL ESTATE PARTNERS VII-IP CO-INVESTMENT, L.P.","38,918,122.00",8/23/2022
Landmark Realty Advisors LLC,"LANDMARK REAL ESTATE PARTNERS VIII CO-INVESTMENT FUND, L.P.","212,067,792.00",8/23/2022
Landmark Realty Advisors LLC,"LANDMARK REAL ESTATE PARTNERS VIII, L.P.","4,085,253,678.00",8/23/2022
Landmark Realty Advisors LLC,"LANDMARK REAL ESTATE PARTNERS VIII-CAMPBELL CO-INVESTMENT, L.P.","375,958,307.00",8/23/2022
Landmark Realty Advisors LLC,NCL INVESTMENTS II - RE SERIES,"162,028,767.00",8/23/2022
Landmark Realty Advisors LLC,NCL INVESTMENTS III RE SERIES,"151,515,152.00",8/23/2022
Landmark Realty Advisors LLC,"NCL INVESTMENTS, L.P. - RE SERIES","35,316,148.00",8/23/2022
"Laramar Multi-Family Value Manager, LLC","94V CO-INVEST, LP","9,109,400.00",12/2/2022
"Laramar Multi-Family Value Manager, LLC","NINE FOUR VENTURES, LP","74,372,445.00",12/2/2022
"Lariat Partners, LP","LARIAT ECOSERV CO-INVEST HOLDINGS, LLC","39,366,131.00",8/31/2022
"Lariat Partners, LP","LARIAT PARTNERS FUND I PV, LP","23,810,904.00",8/31/2022
"Lariat Partners, LP","LARIAT PARTNERS FUND I, LP","30,973,313.00",8/31/2022
Launchpad Capital Fund I GP LLC,LAUNCHPAD CAPITAL FUND I LP,"40,759,768.00",3/30/2022
Launchpad Capital Fund I GP LLC,LAUNCHPAD CAPITAL FUND I-B LP,"10,613,844.00",3/30/2022
Launchpad Capital Fund I GP LLC,LAUNCHPAD CAPITAL OPPORTUNITIES FUND LP (SERIES 1),"12,480,186.00",3/30/2022
Launchpad Capital Fund I GP LLC,LAUNCHPAD CAPITAL OPPORTUNITIES FUND LP (SERIES SPAC),"22,376,577.00",3/30/2022
Launchpad Capital Fund I GP LLC,LAUNCHPAD CAPITAL OPPORTUNITIES FUND LP (SERIES UN),"1,787,880.00",3/30/2022
LAV Management Company Limited,"LILLY ASIA VENTURES FUND I, L.P.","356,578,859.00",3/23/2022
LAV Management Company Limited,"LILLY ASIA VENTURES FUND II, L.P.","810,565,162.00",3/23/2022
Lead Management Company LTD.,"ADVANTAGE, LP","51,843,525.00",3/31/2022
Learnlaunchx Management LLC,LEARNLAUNCHX LLC,"1,528,265.00",3/30/2018
"Leek II, JAY Alan",CLEARSKY POWER & TECHNOLOGY FUND II LLC,"362,459,116.00",3/23/2022
"Leek II, JAY Alan",CLEARSKY SECURITY FUND I LLC,"445,713,125.00",3/23/2022
Left Lane Capital LLC,"LEFT LANE CAPITAL PARTNERS CO-INVEST II, L.P. (SERIES I)","47,932,735.00",3/30/2022
Left Lane Capital LLC,"LEFT LANE CAPITAL PARTNERS CO-INVEST, L.P. (SERIES C)","29,324,642.00",3/30/2022
Left Lane Capital LLC,"LEFT LANE CAPITAL PARTNERS CO-INVEST, L.P. (SERIES J)","37,274,896.00",3/30/2022
Left Lane Capital LLC,"LEFT LANE CAPITAL PARTNERS CO-INVEST, L.P. (SERIES J1)","9,824.00",3/30/2022
Left Lane Capital LLC,"LEFT LANE CAPITAL PARTNERS CO-INVEST, L.P. (SERIES M)","10,022,899.00",3/30/2022
Left Lane Capital LLC,"LEFT LANE CAPITAL PARTNERS CO-INVEST, L.P. (SERIES T)","10,243,752.00",3/30/2022
Left Lane Capital LLC,LEFT LANE CAPITAL PARTNERS II LP,"945,445,091.00",3/30/2022
Left Lane Capital LLC,LEFT LANE CAPITAL PARTNERS II-B LP,"365,756,819.00",3/30/2022
Left Lane Capital LLC,LEFT LANE CAPITAL PARTNERS II-C LP,"16,622,079.00",3/30/2022
"Legacy Venture Management, LLC","LEGACY VENTURE IV, LLC","79,211,718.00",2/22/2023
"Legacy Venture Management, LLC","LEGACY VENTURE V (QP), LLC","113,167,332.00",2/22/2023
"Legacy Venture Management, LLC","LEGACY VENTURE V, LLC","27,294,456.00",2/22/2023
"Legacy Venture Management, LLC","LEGACY VENTURE VI (QP), LLC","380,517,163.00",2/22/2023
"Legacy Venture Management, LLC","LEGACY VENTURE VI, LLC","166,085,971.00",2/22/2023
"Legalist, Inc.","LEGALIST DIP FUND I, LP","43,661,929.00",11/2/2022
"Legalist, Inc.","LEGALIST DIP OFFSHORE FUND I, LTD","39,168,349.00",11/2/2022
"Legalist, Inc.","LEGALIST DIP SPV II, LP","23,891,859.00",11/2/2022
"Legalist, Inc.","LEGALIST FUND I, L.P.","14,555,983.00",11/2/2022
"Legalist, Inc.","LEGALIST FUND II, L.P.","102,886,483.00",11/2/2022
"Legalist, Inc.","LEGALIST FUND III, LP","282,608,366.00",11/2/2022
"Legalist, Inc.","LEGALIST SPV FUND I, LP","56,908,182.00",11/2/2022
"Legalist, Inc.","LEGALIST SPV II, LP","3,840,692.00",11/2/2022
"Legalist, Inc.","LEGALIST SPV III, LP","100,000,000.00",11/2/2022
Legend Capital Management Limited,"LC HEALTHCARE CONTINUED FUND I, L.P.","402,125,273.00",3/29/2022
LEP Management LLC,"LEAVITT EQUITY PARTNERS I, L.P.","55,634,474.00",3/30/2022
LEP Management LLC,"LEAVITT EQUITY PARTNERS II, L.P.","202,911,471.00",3/30/2022
LEP Management LLC,"LEAVITT EQUITY PARTNERS III, L.P.","844,599.00",3/30/2022
"Lerer Hippeau Ventures Management, LLC","BN CAPITAL FUND I, L.P.","236,624,098.00",3/31/2022
"Lerer Hippeau Ventures Management, LLC","BN CAPITAL FUND II, L.P.","3,893,307.00",3/31/2022
"Lerer Hippeau Ventures Management, LLC","LERER HIPPEAU ZB, LP","3,000,000.00",3/31/2022
Lexington Partners L.P.,"ERS TA XII, L.P.","84,673,506.00",12/22/2022
Lexington Partners L.P.,"LCP FSBA CO-INVEST ACCOUNT, L.P.","215,654,424.00",12/22/2022
Lexington Partners L.P.,"LCP VIII CO-INVEST PARTNERS, L.P.","138,424,998.00",12/22/2022
Lexington Partners L.P.,"LCP VIII COINVESTMENT, L.P.","195,854,693.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON CIP V-A-O, L.P.","102,287,186.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON CIP V-C-O, L.P.","52,902,702.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON CIP V-F-O, L.P.","230,017,411.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON CIP V-M-O, L.P.","46,751,364.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON CO-INVESTMENT PARTNERS V, L.P.","1,858,544,564.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON CO-INVESTMENT PARTNERS V-A, L.P.","618,511,114.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON CO-INVESTMENT PARTNERS V-B, L.P.","181,470,020.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON CO-INVESTMENT PARTNERS V-C, L.P.","369,922,087.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON CO-INVESTMENT PARTNERS V-F, L.P.","748,171,764.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON DENDUR CO-INVEST (B), L.P.","68,019,829.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON DENDUR US HOLDINGS (A), L.P.","28,875,456.00",12/22/2022
Lexington Partners L.P.,LEXINGTON EMERGING PARTNERS L.P.,"131,119,420.00",12/22/2022
Lexington Partners L.P.,LEXINGTON GEMSTONE HOLDINGS (A) L.P.,"96,115,039.00",12/22/2022
Lexington Partners L.P.,LEXINGTON GEMSTONE HOLDINGS (B) L.P.,"37,949,192.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON GLOBAL PARTNERS II, L.P.","102,960,013.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON GLOBAL PARTNERS III, L.P.","258,685,839.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON GLOBAL PARTNERS V, L.P.","499,048,488.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON GLOBAL PARTNERS, L.P.","119,959,206.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON MIDDLE MARKET INVESTORS II, L.P.","183,781,460.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON MIDDLE MARKET INVESTORS IV, L.P.","2,656,311,221.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON MIDDLE MARKET PARTNERS, L.P.","333,443,263.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON PRIVATE EQUITY 14, L.P.","31,778,416.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON PRIVATE EQUITY II, L.P.","3,438,962.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON PRIVATE EQUITY, L.P.","33,210,863.00",12/22/2022
Lexington Partners L.P.,LEXINGTON SECONDARY CO-INVEST SCSP,"763,049.00",12/22/2022
Lexington Partners L.P.,"LEXINGTON TALISKER CO-INVEST, L.P.","115,863,972.00",12/22/2022
Lexington Partners L.P.,"LMMI IV LEO, L.P.","388,436,600.00",12/22/2022
Lexington Partners L.P.,"LPE IV FEEDER (OFFSHORE), L.P.","15,129,665.00",12/22/2022
LGT Capital Partners (USA) Inc.,CLERESTORY SMALL CAP REAL ESTATE FUND I - TE LP,"1,771,378.00",10/31/2022
LGT Capital Partners (USA) Inc.,"CLERESTORY SMALL CAP REAL ESTATE FUND I - UK, LP","300,348.00",10/31/2022
LGT Capital Partners (USA) Inc.,"CROWN SMALL CAP REAL ESTATE FUND II - T, LP","17,081,290.00",10/31/2022
"Life Line Family Heritage Fund Management, LLC","LIFE LINE FAMILY HERITAGE FUND I, LP","24,561,076.00",3/15/2022
"Light Street Capital Management, LLC","LIGHT STREET SPV5 (OFFSHORE), L.P.","26,782,813.00",11/17/2022
"Light Street Capital Management, LLC","LIGHT STREET SPV5, L.P.","81,485,210.00",11/17/2022
"Light Street Capital Management, LLC","LIGHT STREET SPV6 (OFFSHORE), L.P.","5,492,584.00",11/17/2022
"Light Street Capital Management, LLC","LIGHT STREET SPV6, L.P.","48,865,530.00",11/17/2022
"Light Street Capital Management, LLC","LIGHT STREET SPV7, L.P.",,0  2022-11-17
Lightstone Singapore PTE. LTD.,"LIGHTSTONE SINGAPORE, L.P.","66,166,082.00",4/11/2022
"Linchris Capital Management, LLC","LINCHRIS CAPITAL OPPORTUNITY FUND- II A, LP","19,025,000.00",3/17/2022
"Linchris Capital Management, LLC",LINCHRIS CAPITAL OPPORTUNITY REIT FUND II LP,"361,475,000.00",3/17/2022
"Lincoln Peak Capital Management, LLC","LINCOLN PEAK CAPITAL, LLC","402,056,333.00",3/31/2022
"Lincoln Peak Capital Management, LLC",LPC ACA LP,"19,314,907.00",3/31/2022
"Lincoln Peak Capital Management, LLC",LPC HARVEST LP,"5,149,015.00",3/31/2022
"Lincoln Peak Capital Management, LLC",LPC LONDON LP,"116,392,117.00",3/31/2022
"Lincoln Peak Capital Management, LLC",LPC WESTCHESTER LP,"6,397,343.00",3/31/2022
Linden Manager LLC,LINDEN CAPITAL PARTNERS V LP,"1,370,280,669.00",11/28/2022
Linden Manager LLC,LINDEN CAPITAL PARTNERS V-A LP,"2,151,123,407.00",11/28/2022
Linden Manager LLC,LINDEN CO-INVESTMENT V LP,"99,274,136.00",11/28/2022
Linden Manager LLC,LINDEN CO-INVESTMENT V-A LP,"74,361,834.00",11/28/2022
Linden Manager LLC,LINDEN EXECUTIVES LLC - SERIES 1,"27,152,145.00",11/28/2022
Linse Capital LLC,LEVITATE CAPITAL SKY LLC,"126,047,621.00",4/26/2022
Linse Capital LLC,"LINSE CAPITAL CP II, LLC","130,134,062.00",4/26/2022
Linse Capital LLC,"LINSE CAPITAL CP III, LLC","146,484,413.00",4/26/2022
Linse Capital LLC,"LINSE CAPITAL CP IV, LLC","101,837,603.00",4/26/2022
Linse Capital LLC,"LINSE CAPITAL CP V, LLC","149,963,798.00",4/26/2022
Linse Capital LLC,"LINSE CAPITAL CP VI, LLC","353,200,890.00",4/26/2022
Linse Capital LLC,"LINSE CAPITAL CP, LLC","448,435,816.00",4/26/2022
Linse Capital LLC,"LINSE CAPITAL FUND I, LP","591,612,387.00",4/26/2022
Linse Capital LLC,LINSE CAPITAL RED LLC,"84,864,159.00",4/26/2022
Linse Capital LLC,"LINSE CAPITAL SKY II, LLC",,0  2022-04-26
Linse Capital LLC,LINSE CAPITAL VAL LLC,"74,488,704.00",4/26/2022
Linse Capital LLC,"LINSE CAPITAL WAYVE, LLC",,0  2022-04-26
Lionbird (Ventures) LTD.,LIONBIRD I L.P.,"52,503,000.00",2/5/2023
Lionbird (Ventures) LTD.,LIONBIRD II L.P.,"66,300,000.00",2/5/2023
Lionbird (Ventures) LTD.,LIONBIRD III L.P.,"55,450,000.00",2/5/2023
Lionrock Capital (Cayman) Limited,"LIONROCK CAPITAL, L.P.","10,635,233.00",5/10/2021
Liquid Capital Management LLC,"LIQUID II SPV 1, LP","47,634,521.00",6/3/2022
Liquid Capital Management LLC,"LIQUID STOCK II, LP","131,128,998.00",6/3/2022
"Lmdagg, L.L.C.","ASSOCIATED FUNDS SPV, L.P. - SERIES 1","17,322,001.00",8/30/2022
"Lmdagg, L.L.C.","ASSOCIATED FUNDS SPV, L.P. - SERIES 2",,0  2022-08-30
"Lmdagg, L.L.C.","ASSOCIATED FUNDS SPV, L.P. - SERIES S1","86,529,472.00",8/30/2022
"Lmdagg, L.L.C.","YEDA, L.P.","735,275,395.00",8/30/2022
"LNK Partners, LLC","LNK LIFE TIME FUND, L.P.","64,281,108.00",3/30/2022
"Lone View Capital Management, L.P.","LONE VIEW CAPITAL FUND I, L.P.","255,837,472.00",10/11/2022
"Lone View Capital Management, L.P.","LONE VIEW CAPITAL FUND I-A, L.P.","19,112,528.00",10/11/2022
Long Hill Capital Management,"LONG HILL CAPITAL VENTURE PARTNERS 1 PLUS, L.P.","78,930,655.00",2/21/2023
Long Hill Capital Management,"LONG HILL CAPITAL VENTURE PARTNERS 1, L.P.","304,536,375.00",2/21/2023
Long Hill Capital Management,"LONG HILL CAPITAL VENTURE PARTNERS 2 PLUS, L.P.","56,644,642.00",2/21/2023
Long Hill Capital Management,"LONG HILL CAPITAL VENTURE PARTNERS 2, L.P.","315,747,505.00",2/21/2023
Long Hill Capital Management,"LONG HILL CAPITAL VENTURE PARTNERS 3, L.P.","297,521,190.00",2/21/2023
"Long Hill Capital Venture Partners GP 1 Plus, L.P.","LONG HILL CAPITAL VENTURE PARTNERS GST, L.P.","16,088,233.00",2/21/2023
"Long Hill Capital Venture Partners GP 1 Plus, L.P.","LONG HILL CAPITAL VENTURE PARTNERS HGY, L.P.","15,530,611.00",2/21/2023
"Long Hill Capital Venture Partners GP 2 Plus, LTD.","LONG HILL CAPITAL VENTURE PARTNERS 2 PLUS, L.P.","56,644,642.00",2/21/2023
Long River Capital Management II LLC,"LRVHEALTH, LP","78,204,995.00",3/31/2022
Longevity Funds 2 LLC,LONGEVITY FUND 1 LP,"3,739,961.00",3/17/2022
Longevity Funds 2 LLC,LONGEVITY FUND 2 LP,"18,257,093.00",3/17/2022
"Longevity Incubator Management, LLC","LONGEVITY INCUBATOR FUND I, LP","11,765,843.00",3/17/2022
"Longshore Capital Management, LLC","LONGSHORE CAPITAL FUND I, L.P.","201,766,433.00",2/16/2023
Longwood Fund Management LLC,LONGWOOD FUND II LP,"48,308,508.00",2/6/2019
Longwood Fund Management LLC,LONGWOOD FUND LP,"31,130,161.00",2/6/2019
Longwood Management LLC,"LF-B INCUBATOR FUND, LLC","29,601,477.00",4/28/2022
Longwood Management LLC,"LF-CFF INCUBATOR FUND II, L.P.","25,000,000.00",4/28/2022
Longwood Management LLC,"LF-CFF INCUBATOR FUND, L.P.","19,173,384.00",4/28/2022
Longwood Management LLC,"LFSHV, LLC","3,571.00",4/28/2022
Longwood Management LLC,"LONGWOOD FUND II, L.P.","29,903,335.00",4/28/2022
Longwood Management LLC,"LONGWOOD FUND III, LP","66,877,957.00",4/28/2022
Longwood Management LLC,"LONGWOOD FUND IV, LP","47,001,337.00",4/28/2022
Longwood Management LLC,"LONGWOOD FUND V, LP","116,322,207.00",4/28/2022
Longwood Management LLC,"LONGWOOD FUND VI, L.P.","90,413,283.00",4/28/2022
Longwood Management LLC,"LONGWOOD FUND, L.P.","6,537,885.00",4/28/2022
"Longworth Management Company, INC.",LONGWORTH ADVISORS FUND III LP,"234,751.00",1/29/2022
"Longworth Management Company, INC.",LONGWORTH VENTURE PARTNERS III LP,"23,965,106.00",1/29/2022
"Lorient Capital Management, LLC",LORIENT CENTRIA GROUP INVESTMENT LLC,"172,132.00",4/21/2022
"Lorient Capital Management, LLC",LORIENT CLEARGAGE LLC,"24,700,606.00",4/21/2022
"Lorient Capital Management, LLC","LORIENT EAGLE INVESTMENT, LP","49,100,000.00",4/21/2022
"Lorient Capital Management, LLC","LORIENT HEALTHCARE FUND II, LP","132,353,110.00",4/21/2022
"Lorient Capital Management, LLC","LORIENT HEALTHCARE FUND, LP","74,603,816.00",4/21/2022
"Lorient Capital Management, LLC","LORIENT HEALTHCARE PARALLEL FUND II, LP","55,533,847.00",4/21/2022
"Lorient Capital Management, LLC","LORIENT HEALTHCARE PARALLEL FUND, LP","5,629,371.00",4/21/2022
"Lorient Capital Management, LLC","LORIENT KCMP, LLC","4,208,653.00",4/21/2022
"Lorient Capital Management, LLC","LORIENT SHIFTKEY INVESTMENT, LP","173,473,460.00",4/21/2022
"Lorient Capital Management, LLC","LORIENT VBF CO-INVEST, LP","12,520,989.00",4/21/2022
"Lorient Capital Management, LLC","TRANSITIONS ACQUISITION, LP","39,659,043.00",4/21/2022
"Loup Funds, LLC",LOUP VENTURES FUND I LP,"33,000,000.00",6/30/2022
"Lowkey Services Company, LTD.","ATYPICAL VENTURES FUND, L.P.","145,379,785.00",3/31/2022
"LS Polaris Innovation Fund Management, L.L.C.","LS POLARIS INNOVATION FUND, L.P.","100,209,129.00",6/13/2018
"LSV Capital Management, LLC","LIGHTSTONE VENTURES (A), L.P.","29,560,610.00",4/11/2022
"LSV Capital Management, LLC","LIGHTSTONE VENTURES II (A), L.P.","17,061,254.00",4/11/2022
"LSV Capital Management, LLC","LIGHTSTONE VENTURES II, L.P.","270,836,993.00",4/11/2022
"LSV Capital Management, LLC","LIGHTSTONE VENTURES III, L.P.","350,660,497.00",4/11/2022
"LSV Capital Management, LLC","LIGHTSTONE VENTURES, L.P.","205,257,299.00",4/11/2022
"Luminate Capital Management, Inc.","LUMINATE ACADEMY HOLDINGS, LP","244,537,572.00",3/31/2022
"Luminate Capital Management, Inc.","LUMINATE CAPITAL PARTNERS II, LP","301,724,398.00",3/31/2022
"Luminate Capital Management, Inc.","LUMINATE CAPITAL PARTNERS II-A, LP","160,121,310.00",3/31/2022
"Luminate Capital Management, Inc.","LUMINATE CAPITAL PARTNERS III, LP","211,652,956.00",3/31/2022
"Luminate Capital Management, Inc.","LUMINATE CAPITAL PARTNERS III-A, LP","96,891,849.00",3/31/2022
"Luminate Capital Management, Inc.","LUMINATE ISLAND HOLDINGS, LP","98,684,883.00",3/31/2022
"Lux Capital Management, LLC","LUX VENTURES CAYMAN III, L.P.","23,971,875.00",3/23/2022
"Lux Capital Management, LLC",LUX VENTURES I LLC,"391,863.00",3/23/2022
"Lux Capital Management, LLC","LUX VENTURES III SPECIAL FOUNDERS FUND, L.P.","272,088.00",3/23/2022
"Lux Capital Management, LLC","LUX VENTURES V, L.P.","1,193,116,969.00",3/23/2022
"Lux Capital Management, LLC","LUX VENTURES VI SIDECAR, LP","2,686,350.00",3/23/2022
"Lux Capital Management, LLC","LUX VENTURES VI, L.P.","658,062,283.00",3/23/2022
"Lux Capital Management, LLC","LUX VENTURES VII ENTREPRENEURS FUND, L.P.","8,924,797.00",3/23/2022
"Lux Capital Management, LLC","LUX VENTURES VII, L.P.","709,529,594.00",3/23/2022
Lyfe Capital Global Partner Limited,"LYFE CAPITAL FUND IV (DRAGON), L.P.","573,750,000.00",3/21/2022
LYFE Capital Investment Management Limited,"LYFE CAPITAL FUND II, L.P.","777,898,246.00",3/22/2022
LYFE Capital Investment Management Limited,"LYFE CAPITAL FUND, L.P.","300,094,557.00",3/22/2022
Lyfe Capital Management Limited,"LYFE CAPITAL FUND III (DRAGON), L.P.","710,081,027.00",3/22/2022
Lyfe U.S LLC,"LYFE CAPITAL FUND III (PHOENIX), L.P.","121,480,099.00",3/22/2022
M33 Growth LLC,M33 GROWTH I L.P.,"312,550,562.00",3/25/2022
M33 Growth LLC,M33 GROWTH II L.P.,"257,247,205.00",3/25/2022
Magma VP Consulting Services LTD.,MAGMA GROWTH EQUITY I LP,"46,700,000.00",3/24/2022
Magma VP Consulting Services LTD.,"MAGMA HOLA CO INVESTMENTS FUND, L.P","28,000.00",3/24/2022
Magma VP Consulting Services LTD.,MAGMA VENTURE CAPITAL II L.P.,"161,950,000.00",3/24/2022
Magma VP Consulting Services LTD.,MAGMA VENTURE CAPITAL III L.P.,"355,600,000.00",3/24/2022
Magma VP Consulting Services LTD.,"VALENS CO INVESTMENT FUND, L.P.","26,100,000.00",3/24/2022
"Maiden Lane Ventures II , LLC","MAIDEN LANE FUND II, L.P.","107,421,330.00",3/28/2022
"Maiden Lane Ventures, LLC","MAIDEN LANE FUND I, L.P.","145,538,191.00",3/28/2022
"Main Post Partners, L.P.","MAIN POST GROWTH CAPITAL II (PARALLEL), L.P.","177,451,682.00",5/2/2022
"Main Post Partners, L.P.","MAIN POST GROWTH CAPITAL II, L.P.","656,397,864.00",5/2/2022
"Main Post Partners, L.P.","MAIN POST GROWTH CAPITAL, L.P.","471,588,066.00",5/2/2022
"Main Post Partners, L.P.","MPGC II FRG CO-INVESTMENT (PARALLEL), L.P.","601,197,635.00",5/2/2022
"Main Post Partners, L.P.","MPGC II FRG CO-INVESTMENT, L.P.","387,412,597.00",5/2/2022
"Mainsail Management Company, LLC","MAINSAIL PARTNERS II, L.P.","11,497,436.00",4/28/2022
"Makena Capital Management, LLC","COAST TO COAST REAL ASSET FUND, L.P.","286,037,884.00",5/25/2022
"Makena Capital Management, LLC","MAKENA CONTINGENT CAPITAL ACCOUNT II, L.P.","13,374,143.00",5/25/2022
"Makena Capital Management, LLC","MAKENA CONTINGENT CAPITAL ACCOUNT III-MOMA, L.P","41,724,042.00",5/25/2022
"Makena Capital Management, LLC","MAKENA CONTINGENT CAPITAL ACCOUNT, L.P.","24,526,871.00",5/25/2022
"Makena Capital Management, LLC","MAKENA NZ CAYMAN, L.P.","38,832,506.00",5/25/2022
"Makena Capital Management, LLC","MAKENA PRIVATE EQUITY FUND II, L.P.","100,564,990.00",5/25/2022
"Makena Capital Management, LLC","MAKENA PRIVATE EQUITY FUND III CAYMAN, L.P.","63,802,132.00",5/25/2022
"Makena Capital Management, LLC","MAKENA PRIVATE EQUITY FUND III, L.P","251,080,793.00",5/25/2022
"Makena Capital Management, LLC","MAKENA PRIVATE EQUITY FUND, L.P.","41,941,090.00",5/25/2022
"Makena Capital Management, LLC","MAKENA REAL ESTATE FUND II CAYMAN, L.P.","37,628,067.00",5/25/2022
"Makena Capital Management, LLC","MAKENA REAL ESTATE FUND II, L.P.","103,599,822.00",5/25/2022
"Makena Capital Management, LLC","MAKENA REAL ESTATE FUND, L.P.","59,339,466.00",5/25/2022
"Makena Capital Management, LLC","MAKENA STRATEGIC OPPORTUNITIES FUND - KANDLE, L.P.","111,864,304.00",5/25/2022
"Makena Capital Management, LLC","MAKENA STRATEGIC OPPORTUNITIES FUND - KH CAYMAN, LP","174,076,545.00",5/25/2022
"Makena Capital Management, LLC","MAKENA STRATEGIC OPPORTUNITIES FUND - KH PARALLEL, LLC","785,914.00",5/25/2022
"Makena Capital Management, LLC","MAKENA STRATEGIC OPPORTUNITIES FUND - KH, INC","29,373,838.00",5/25/2022
"Makena Capital Management, LLC","MAKENA STRATEGIC OPPORTUNITIES FUND - KH, LLC","78,127,495.00",5/25/2022
"Makena Capital Management, LLC","MAKENA STRATEGIC OPPORTUNITIES FUND - KH, LP","44,993,177.00",5/25/2022
"Makena Capital Management, LLC","MAKENA STRATEGIC OPPORTUNITIES FUND - SH RE, L.P.","75,429,045.00",5/25/2022
Maniv Mobility Management LTD.,"MANIV MOBILITY A, L.P.","50,538,000.00",3/31/2022
Maniv Mobility Management LTD.,"MANIV MOBILITY II A, L.P.","70,451,000.00",3/31/2022
Maniv Mobility Management LTD.,"MANIV MOBILITY II, L.P.","38,782,000.00",3/31/2022
Maniv Mobility Management LTD.,MANIV MOBILITY OC L.P.,"23,296,000.00",3/31/2022
Maniv Mobility Management LTD.,"MANIV REVEL CO-INVESTMENT, LLC","4,167,418.00",3/31/2022
Maple 2 VC LLC,"MAPLE 2 VC, L.P.","23,598,273.00",3/31/2022
Maple VC LLC,MAPLE VC PARTNERS LP,"1,975,667.00",3/31/2022
MAR Ventures Investimentos Ltda,"MVBW FUND ONE, LLC","14,714,061.00",3/31/2022
"Maranon Capital, L.P.","MARANON SENIOR CREDIT FUND II-B, L.P.","9,072,344.00",3/29/2022
"Maranon Capital, L.P.","MARANON SENIOR CREDIT STRATEGIES FUND V - LEVERED, L.P.","97,955,415.00",3/29/2022
"Maranon Capital, L.P.","MARANON SENIOR CREDIT STRATEGIES FUND V - UNLEVERED, L.P.","37,197,365.00",3/29/2022
"Marblegate Asset Management, LLC","MARBLEGATE PARTNERS II OVERFLOW MASTER FUND, L.P.",,0  2023-02-09
Markd VC LLC,MARKD INSURTECH FUND LP,"51,000,000.00",5/9/2022
Marker Financial Advisors LLC,"MARKER - QWILT, L.P.","13,933,655.00",3/29/2022
Marker Financial Advisors LLC,MARKER-CLAROTY SERIES E LP,"7,294,687.00",3/29/2022
Marker Financial Advisors LLC,"MARKER-CLAROTY, L.P.","9,145,962.00",3/29/2022
Marker Financial Advisors LLC,"MARKER-OVERWOLF, L.P.","8,657,463.00",3/29/2022
"Marlin Management Company, LLC","MARLIN EQUITY II, L.P.","88,595,532.00",5/11/2022
"Marlin Management Company, LLC","MARLIN EQUITY III, L.P.","19,966,432.00",5/11/2022
"Marlin Management Company, LLC","MARLIN EQUITY IV AIV, L.P.","157,784,610.00",5/11/2022
"Marlin Management Company, LLC","MARLIN EQUITY IV, L.P.","717,714,221.00",5/11/2022
"Marlin Management Company, LLC","MARLIN EQUITY V, L.P.","2,109,778,328.00",5/11/2022
"Marlin Management Company, LLC","MARLIN EQUITY V-A, L.P.","1,241,622,571.00",5/11/2022
"Marlin Management Company, LLC","MARLIN EQUITY, L.P.","6,368,707.00",5/11/2022
"Marlin Management Company, LLC","MARLIN EXECUTIVE FUND II, L.P.","511,970.00",5/11/2022
"Marlin Management Company, LLC","MARLIN EXECUTIVE FUND III, L.P.","54,528.00",5/11/2022
"Marlin Management Company, LLC","MARLIN EXECUTIVE FUND IV, L.P.","4,352,124.00",5/11/2022
"Marlin Management Company, LLC","MARLIN EXECUTIVE FUND V, L.P.","5,867,764.00",5/11/2022
"Marlin Management Company, LLC","MARLIN HERITAGE CAYMAN AIV, L.P.","187,531,971.00",5/11/2022
"Marlin Management Company, LLC","MARLIN HERITAGE EUROPE EXECUTIVE FUND, L.P.","8,097,477.00",5/11/2022
